siteID,NumPeaks,MaxPSD,pheno_var,MV_ModTerra_Mean,MV_ModTerra_Max,MV_ModAqua_Mean,MV_ModAqua_Max,MV_Landsat_Mean,MV_Landsat_Max
5278,5,0.158900758,0.575050159,20.89534416,25.68643187,30.31877312,25.52380025,18.23174949,27.34716376
5279,5,0.154183343,0.871408615,21.68768653,25.46230622,17.27308689,30.61415547,15.23369195,18.66018203
5280,2,0.227625386,0.736584846,25.62312602,38.8596561,25.22011639,33.71887565,9.304512728,14.55121191
5281,5,0.276674252,0.821370079,13.57920387,6.845864512,11.77545708,7.023557514,15.25946095,9.813797885
5283,9,0.239166634,0.510251862,25.04820537,28.7940878,27.15230771,43.43444672,17.81709546,29.17525667
5285,7,0.353165283,0.790437669,19.90033434,10.424612,26.94793184,11.65865843,29.39323426,11.50400823
5287,3,0.147333582,0.826970991,12.59647896,18.55669555,14.05748181,5.685508117,12.28487243,4.744743579
5288,2,0.223252578,0.775223546,13.77730483,21.34648371,14.37030427,23.63308019,6.857240145,25.04249915
5289,4,0.167681374,0.783981904,11.44428613,31.40900117,14.04897131,20.93215983,13.41508542,32.67381893
5290,4,0.499661749,0.634924748,16.80540921,14.24400233,23.73764366,17.10561201,16.01206505,26.82857994
5291,3,0.211774545,0.826558665,11.21228027,18.8665899,13.5062283,12.30087129,18.62312546,14.31439748
5292,2,0.193654909,0.732713869,9.401391626,25.3685952,9.522032222,20.15657734,9.71884613,23.83646346
5293,8,0.260203781,0.631333622,18.57505043,27.01360815,24.37085389,31.40081377,10.97772414,23.73605434
5294,7,0.35058119,0.579001989,24.86375493,31.06576781,33.93659569,42.69066508,28.61859696,23.00182379
5295,5,0.730241215,1.432228481,9.476511048,8.01376699,11.37119603,4.332777163,5.414701829,5.782974214
5296,4,0.137836225,0.735417352,22.02088706,41.67491397,19.95113904,37.37439874,9.681513466,22.97711351
5297,2,0.030056849,0.901103349,8.54274072,11.27628328,8.354739044,8.071543421,5.82894445,7.924408211
5298,6,0.229506972,1.374851936,5.373058651,16.79821388,6.182154396,22.59756278,1.63159057,3.286098977
5299,6,0.313842557,1.294702188,15.0903896,44.3702737,22.57395765,18.61511413,5.356064922,28.74635394
5300,5,0.142745745,1.769445869,8.103516333,12.17441025,8.28155582,15.25432817,4.950776402,7.217026946
5301,5,0.065106872,4.211964587,10.83337213,4.445773495,14.56229442,5.522562553,3.499763184,9.976440863
5302,8,0.364778041,1.347697975,15.70897443,21.53898623,14.65533955,8.818905659,10.18050348,21.13982071
5303,5,0.163646766,3.155857627,13.00680551,20.38689839,11.56269797,23.3059288,7.735388207,16.9106151
5304,5,0.147608743,3.194962861,11.65188142,26.8311264,11.13010944,20.7816677,12.42728404,21.87796566
5306,6,0.126579124,3.039119666,9.800623611,11.66091186,10.53120663,13.65448472,7.739846071,10.85422261
5307,4,0.272494946,1.454880174,13.40340702,14.69026576,16.17063924,12.69869831,11.70601716,14.57575602
5308,5,0.13977939,0.956113368,14.58257382,21.73005297,13.43459,27.16442655,13.16412626,31.72399593
5309,6,0.135702855,1.332194958,24.10935487,24.35810914,35.74615775,16.66145346,10.17619863,21.60648788
5310,6,0.203132298,0.501960246,47.70507177,67.8727074,50.33718172,35.65040598,8.450394448,25.91631307
5311,5,0.230466825,0.521164292,50.55255082,105.335454,31.45412646,26.78615456,16.15109291,33.21337458
5312,7,0.459011203,0.58882352,21.94712552,24.8230457,19.59060659,29.82975091,7.379154253,12.78567928
5339,5,0.338362377,1.387459631,11.92214911,22.92099574,13.58791156,57.02463238,6.037964335,25.75872887
5340,8,0.291189012,0.642849313,40.86419871,10.01531557,42.71620612,10.6092547,27.55719735,69.39446322
5341,7,0.540208572,1.033242291,22.22201107,53.05028144,16.05448913,46.4002667,21.88983072,32.73425741
5352,8,0.055894797,0.55063231,16.44981237,9.395562891,17.54144582,8.264236842,8.049086526,7.389236583
5353,4,0.114136976,0.479058946,30.81122626,16.58922557,33.23730449,19.58093249,31.47221044,18.03688576
